SID,Turn,Speaker,childTurn,adultTurn,posemo,negemo,posemo_bin,negemo_bin,Sixltr,i,article,present,discrep,lingdist,WC,WC_log,ChildAge,ChildSex,ParentSex,ChildRace,ChildEthnicity,ParentRace,ParentEthnicity,FamilyIncome,inadubles
6101,1,child,1,NA,0,0,0,0,33.33,33.33,0,0,0,0.027198128,3,1.386294361,6,Male,Female,White,Not Hispanic or Latino,White,Not Hispanic or Latino,"$81,000-$99,999",0
6101,2,adult,NA,1,0,0,0,0,0,0,0,66.67,0,-0.580370431,3,1.386294361,6,Male,Female,White,Not Hispanic or Latino,White,Not Hispanic or Latino,"$81,000-$99,999",0
6101,3,child,2,NA,0,0,0,0,33.33,33.33,0,0,0,0.027198128,3,1.386294361,6,Male,Female,White,Not Hispanic or Latino,White,Not Hispanic or Latino,"$81,000-$99,999",0
6101,4,adult,NA,2,0,0,0,0,0,0,0,66.67,0,-0.580370431,3,1.386294361,6,Male,Female,White,Not Hispanic or Latino,White,Not Hispanic or Latino,"$81,000-$99,999",0
6101,5,child,3,NA,0,11.11,0,1,11.11,11.11,0,0,11.11,-0.304706429,9,2.302585093,6,Male,Female,White,Not Hispanic or Latino,White,Not Hispanic or Latino,"$81,000-$99,999",1
6101,6,adult,NA,3,0,0,0,0,0,14.29,0,42.86,0,-0.637834412,7,2.079441542,6,Male,Female,White,Not Hispanic or Latino,White,Not Hispanic or Latino,"$81,000-$99,999",0
6101,7,child,4,NA,0,12.5,0,1,37.5,12.5,0,25,0,0.299300936,8,2.197224577,6,Male,Female,White,Not Hispanic or Latino,White,Not Hispanic or Latino,"$81,000-$99,999",0
6101,8,adult,NA,4,0,0,0,0,0,0,20,20,0,0.500758718,5,1.791759469,6,Male,Female,White,Not Hispanic or Latino,White,Not Hispanic or Latino,"$81,000-$99,999",0
6101,9,child,5,NA,0,0,0,0,0,0,0,0,0,0.185920939,1,0.693147181,6,Male,Female,White,Not Hispanic or Latino,White,Not Hispanic or Latino,"$81,000-$99,999",0
6101,10,adult,NA,5,0,0,0,0,0,0,0,0,0,0.185920939,1,0.693147181,6,Male,Female,White,Not Hispanic or Latino,White,Not Hispanic or Latino,"$81,000-$99,999",0
6101,11,child,6,NA,0,0,0,0,0,33.33,0,0,0,-0.586409706,3,1.386294361,6,Male,Female,White,Not Hispanic or Latino,White,Not Hispanic or Latino,"$81,000-$99,999",0
6101,12,adult,NA,6,0,0,0,0,0,11.43,5.71,34.29,0,-0.317544225,35,3.583518938,6,Male,Female,White,Not Hispanic or Latino,White,Not Hispanic or Latino,"$81,000-$99,999",0
6101,13,child,7,NA,0,0,0,0,0,0,0,33.33,0,-0.197167277,6,1.945910149,6,Male,Female,White,Not Hispanic or Latino,White,Not Hispanic or Latino,"$81,000-$99,999",0
6101,14,adult,NA,7,0,0,0,0,4.17,8.33,0,20.83,0,-0.169749542,24,3.218875825,6,Male,Female,White,Not Hispanic or Latino,White,Not Hispanic or Latino,"$81,000-$99,999",0
6101,15,child,8,NA,0,0,0,0,0,0,0,0,0,0.185920939,1,0.693147181,6,Male,Female,White,Not Hispanic or Latino,White,Not Hispanic or Latino,"$81,000-$99,999",0
6101,16,adult,NA,8,0,0,0,0,0,0,0,50,0,-0.388768854,2,1.098612289,6,Male,Female,White,Not Hispanic or Latino,White,Not Hispanic or Latino,"$81,000-$99,999",0
6101,17,child,9,NA,0,0,0,0,0,20,20,0,0,0.267189904,5,1.791759469,6,Male,Female,White,Not Hispanic or Latino,White,Not Hispanic or Latino,"$81,000-$99,999",0
6101,18,adult,NA,9,9.52,0,1,0,0,19.05,0,33.33,0,-0.638598383,21,3.091042453,6,Male,Female,White,Not Hispanic or Latino,White,Not Hispanic or Latino,"$81,000-$99,999",0
6101,19,child,10,NA,0,0,0,0,0,0,0,40,0,-0.273830895,5,1.791759469,6,Male,Female,White,Not Hispanic or Latino,White,Not Hispanic or Latino,"$81,000-$99,999",0
6101,20,adult,NA,10,0,8.33,0,1,8.33,16.67,8.33,33.33,8.33,-0.531410599,12,2.564949357,6,Male,Female,White,Not Hispanic or Latino,White,Not Hispanic or Latino,"$81,000-$99,999",0
6101,21,child,11,NA,0,0,0,0,25,25,0,25,0,-0.220477971,4,1.609437912,6,Male,Female,White,Not Hispanic or Latino,White,Not Hispanic or Latino,"$81,000-$99,999",0
6101,22,adult,NA,11,0,0,0,0,0,0,0,25,0,-0.101423957,4,1.609437912,6,Male,Female,White,Not Hispanic or Latino,White,Not Hispanic or Latino,"$81,000-$99,999",0
6101,23,child,12,NA,0,0,0,0,0,20,0,0,0,-0.277523792,5,1.791759469,6,Male,Female,White,Not Hispanic or Latino,White,Not Hispanic or Latino,"$81,000-$99,999",0
6101,24,adult,NA,12,6.45,0,1,0,6.45,6.45,3.23,25.81,0,-0.053478606,31,3.465735903,6,Male,Female,White,Not Hispanic or Latino,White,Not Hispanic or Latino,"$81,000-$99,999",0
6101,25,child,13,NA,0,0,0,0,0,0,0,0,0,0.185920939,1,0.693147181,6,Male,Female,White,Not Hispanic or Latino,White,Not Hispanic or Latino,"$81,000-$99,999",0
6101,26,adult,NA,13,0,0,0,0,0,0,0,0,0,0.185920939,1,0.693147181,6,Male,Female,White,Not Hispanic or Latino,White,Not Hispanic or Latino,"$81,000-$99,999",0
6101,27,child,14,NA,0,0,0,0,0,16.67,0,0,0,-0.200360245,6,1.945910149,6,Male,Female,White,Not Hispanic or Latino,White,Not Hispanic or Latino,"$81,000-$99,999",0
6101,28,adult,NA,14,0,0,0,0,10,10,0,30,0,-0.206514542,10,2.397895273,6,Male,Female,White,Not Hispanic or Latino,White,Not Hispanic or Latino,"$81,000-$99,999",0
6101,29,child,15,NA,0,0,0,0,0,0,0,50,0,-0.388768854,2,1.098612289,6,Male,Female,White,Not Hispanic or Latino,White,Not Hispanic or Latino,"$81,000-$99,999",0
6101,30,adult,NA,15,0,0,0,0,100,0,0,0,0,2.02692854,1,0.693147181,6,Male,Female,White,Not Hispanic or Latino,White,Not Hispanic or Latino,"$81,000-$99,999",0
6101,31,child,16,NA,0,0,0,0,0,0,0,0,0,0.185920939,1,0.693147181,6,Male,Female,White,Not Hispanic or Latino,White,Not Hispanic or Latino,"$81,000-$99,999",0
6101,32,adult,NA,16,5.56,0,1,0,11.11,5.56,0,38.89,0,-0.185374473,18,2.944438979,6,Male,Female,White,Not Hispanic or Latino,White,Not Hispanic or Latino,"$81,000-$99,999",0
6101,33,child,17,NA,0,33.33,0,1,0,33.33,0,33.33,0,-0.969497922,3,1.386294361,6,Male,Female,White,Not Hispanic or Latino,White,Not Hispanic or Latino,"$81,000-$99,999",0
6101,34,adult,NA,17,0,0,0,0,0,25,0,25,0,-0.680729872,4,1.609437912,6,Male,Female,White,Not Hispanic or Latino,White,Not Hispanic or Latino,"$81,000-$99,999",0
6101,35,child,18,NA,28.57,14.29,1,1,0,0,0,0,0,0.185920939,7,2.079441542,6,Male,Female,White,Not Hispanic or Latino,White,Not Hispanic or Latino,"$81,000-$99,999",0
6101,36,adult,NA,18,5,2.5,1,1,0,12.5,7.5,27.5,0,-0.215543768,40,3.713572067,6,Male,Female,White,Not Hispanic or Latino,White,Not Hispanic or Latino,"$81,000-$99,999",0
6101,37,child,19,NA,0,0,0,0,0,0,50,0,0,1.54770518,2,1.098612289,6,Male,Female,White,Not Hispanic or Latino,White,Not Hispanic or Latino,"$81,000-$99,999",0
6101,38,adult,NA,19,0,0,0,0,0,0,0,12.5,0,0.042248491,8,2.197224577,6,Male,Female,White,Not Hispanic or Latino,White,Not Hispanic or Latino,"$81,000-$99,999",0
